País,Ano,Quantidade (Kg),Valor_USD
Cuba,1978,0,0
Cuba,1979,0,0
Cuba,1980,0,0
Cuba,1981,0,0
Cuba,1982,0,0
Cuba,1983,0,0
Cuba,1984,0,0
Cuba,1985,0,0
Cuba,1986,0,0
Cuba,1987,0,0
Cuba,1988,0,0
Cuba,1989,0,0
Cuba,1990,0,0
Cuba,1991,0,0
Cuba,1992,0,0
Cuba,1993,0,0
Cuba,1994,0,0
Cuba,1995,0,0
Cuba,1996,0,0
Cuba,1997,0,0
Cuba,1998,0,0
Cuba,1999,0,0
Cuba,2000,0,0
Cuba,2001,0,0
Cuba,2002,0,0
Cuba,2003,0,0
Cuba,2004,0,0
Cuba,2005,0,0
Cuba,2006,0,0
Cuba,2007,0,0
Cuba,2008,0,0
Cuba,2009,0,0
Cuba,2010,0,0
Cuba,2011,0,0
Cuba,2012,0,0
Cuba,2013,0,0
Cuba,2014,0,0
Cuba,2015,0,0
Cuba,2016,0,0
Cuba,2017,0,0
Cuba,2018,0,0
Cuba,2019,0,0
Cuba,2020,0,0
Cuba,2021,0,0
Cuba,2022,0,0
Cuba,2023,8,261
Cuba,2024,0,0
Emirados Árabes Unidos,1970,0,0
Emirados Árabes Unidos,1971,0,0
Emirados Árabes Unidos,1972,0,0
Emirados Árabes Unidos,1973,0,0
Emirados Árabes Unidos,1974,0,0
Emirados Árabes Unidos,1975,0,0
Emirados Árabes Unidos,1976,0,0
Emirados Árabes Unidos,1977,0,0
Emirados Árabes Unidos,1978,0,0
Emirados Árabes Unidos,1979,0,0
Emirados Árabes Unidos,1980,0,0
Emirados Árabes Unidos,1981,0,0
Emirados Árabes Unidos,1982,0,0
Emirados Árabes Unidos,1983,0,0
Emirados Árabes Unidos,1984,0,0
Emirados Árabes Unidos,1985,0,0
Emirados Árabes Unidos,1986,0,0
Emirados Árabes Unidos,1987,0,0
Emirados Árabes Unidos,1988,0,0
Emirados Árabes Unidos,1989,0,0
Emirados Árabes Unidos,1990,0,0
Emirados Árabes Unidos,1991,0,0
Emirados Árabes Unidos,1992,0,0
Emirados Árabes Unidos,1993,0,0
Emirados Árabes Unidos,1994,0,0
Emirados Árabes Unidos,1995,0,0
Emirados Árabes Unidos,1996,0,0
Emirados Árabes Unidos,1997,0,0
Emirados Árabes Unidos,1998,0,0
Emirados Árabes Unidos,1999,0,0
Emirados Árabes Unidos,2000,0,0
Emirados Árabes Unidos,2001,0,0
Emirados Árabes Unidos,2002,0,0
Emirados Árabes Unidos,2003,0,0
Emirados Árabes Unidos,2004,0,0
Emirados Árabes Unidos,2005,0,0
Emirados Árabes Unidos,2006,0,0
Emirados Árabes Unidos,2007,0,0
Emirados Árabes Unidos,2008,0,0
Emirados Árabes Unidos,2009,0,0
Emirados Árabes Unidos,2010,0,0
Emirados Árabes Unidos,2011,0,0
Emirados Árabes Unidos,2012,0,0
Emirados Árabes Unidos,2013,0,0
Emirados Árabes Unidos,2014,35,1138
Emirados Árabes Unidos,2015,529,10093
Emirados Árabes Unidos,2016,2175,35489
Emirados Árabes Unidos,2017,0,0
Emirados Árabes Unidos,2018,0,0
Emirados Árabes Unidos,2019,0,0
Emirados Árabes Unidos,2020,0,0
Emirados Árabes Unidos,2021,0,0
Emirados Árabes Unidos,2022,0,0
Emirados Árabes Unidos,2023,0,0
Emirados Árabes Unidos,2024,0,0
Eslováquia,1970,0,0
Eslováquia,1971,0,0
Eslováquia,1972,0,0
Eslováquia,1973,0,0
Eslováquia,1974,0,0
Eslováquia,1975,0,0
Eslováquia,1976,0,0
Eslováquia,1977,0,0
Eslováquia,1978,0,0
Eslováquia,1979,0,0
Eslováquia,1980,0,0
Eslováquia,1981,0,0
Eslováquia,1982,0,0
Eslováquia,1983,0,0
Eslováquia,1984,0,0
Eslováquia,1985,0,0
Eslováquia,1986,0,0
Eslováquia,1987,0,0
Eslováquia,1988,0,0
Eslováquia,1989,0,0
Eslováquia,1990,0,0
Eslováquia,1991,0,0
Eslováquia,1992,0,0
Eslováquia,1993,0,0
Eslováquia,1994,0,0
Eslováquia,1995,0,0
Eslováquia,1996,0,0
Eslováquia,1997,0,0
Eslováquia,1998,0,0
Eslováquia,1999,0,0
Eslováquia,2000,0,0
Eslováquia,2001,0,0
Eslováquia,2002,0,0
Eslováquia,2003,0,0
Eslováquia,2004,0,0
Eslováquia,2005,0,0
Eslováquia,2006,0,0
Eslováquia,2007,0,0
Eslováquia,2008,0,0
Eslováquia,2009,0,0
Eslováquia,2010,0,0
Eslováquia,2011,0,0
Eslováquia,2012,0,0
Eslováquia,2013,0,0
Eslováquia,2014,0,0
Eslováquia,2015,0,0
Eslováquia,2016,1305,3878
Eslováquia,2017,21424,64828
Eslováquia,2018,10800,17938
Eslováquia,2019,459,3160
Eslováquia,2020,0,0
Eslováquia,2021,0,0
Eslováquia,2022,0,0
Eslováquia,2023,0,0
Eslováquia,2024,0,0
Eslovênia,1970,0,0
Eslovênia,1971,0,0
Eslovênia,1972,0,0
Eslovênia,1973,0,0
Eslovênia,1974,0,0
Eslovênia,1975,0,0
Eslovênia,1976,0,0
Eslovênia,1977,0,0
Eslovênia,1978,0,0
Eslovênia,1979,0,0
Eslovênia,1980,0,0
Eslovênia,1981,0,0
Eslovênia,1982,0,0
Eslovênia,1983,0,0
Eslovênia,1984,0,0
Eslovênia,1985,0,0
Eslovênia,1986,0,0
Eslovênia,1987,0,0
Eslovênia,1988,0,0
Eslovênia,1989,0,0
Eslovênia,1990,0,0
Eslovênia,1991,0,0
Eslovênia,1992,0,0
Eslovênia,1993,0,0
Eslovênia,1994,0,0
Eslovênia,1995,0,0
Eslovênia,1996,0,0
Eslovênia,1997,0,0
Eslovênia,1998,0,0
Eslovênia,1999,0,0
Eslovênia,2000,0,0
Eslovênia,2001,0,0
Eslovênia,2002,0,0
Eslovênia,2003,0,0
Eslovênia,2004,0,0
Eslovênia,2005,0,0
Eslovênia,2006,0,0
Eslovênia,2007,0,0
Eslovênia,2008,0,0
Eslovênia,2009,0,0
Eslovênia,2010,0,0
Eslovênia,2011,3600,62602
Eslovênia,2012,433,1223
Eslovênia,2013,2192,25307
Eslovênia,2014,4190,23377
Eslovênia,2015,4640,24190
Eslovênia,2016,14366,46972
Eslovênia,2017,0,0
Eslovênia,2018,20976,68521
Eslovênia,2019,30968,101190
Eslovênia,2020,11392,39771
Eslovênia,2021,42944,172141
Eslovênia,2022,31509,127726
Eslovênia,2023,28806,124283
Eslovênia,2024,17671,61546
Espanha,1970,261126,90159
Espanha,1971,140507,50191
Espanha,1972,300582,116710
Espanha,1973,226805,117135
Espanha,1974,362577,215208
Espanha,1975,174608,123102
Espanha,1976,52474,41000
Espanha,1977,105667,98238
Espanha,1978,87767,75364
Espanha,1979,103825,92476
Espanha,1980,111381,109277
Espanha,1981,56316,59696
Espanha,1982,119748,104790
Espanha,1983,65961,60450
Espanha,1984,7200,8421
Espanha,1985,61924,59833
Espanha,1986,52429,61130
Espanha,1987,71472,101606
Espanha,1988,67339,108259
Espanha,1989,54954,130171
Espanha,1990,132157,503357
Espanha,1991,52892,169698
Espanha,1992,51921,144087
Espanha,1993,48534,128664
Espanha,1994,166267,362863
Espanha,1995,385466,669208
Espanha,1996,510076,939905
Espanha,1997,352213,1142017
Espanha,1998,370580,1328280
Espanha,1999,396453,1906389
Espanha,2000,531425,1699237
Espanha,2001,624644,2360928
Espanha,2002,435422,1503384
Espanha,2003,410133,1721562
Espanha,2004,603666,2092080
Espanha,2005,508494,2504139
Espanha,2006,971869,4288963
Espanha,2007,862045,4506858
Espanha,2008,990697,6036397
Espanha,2009,1119540,6224187
Espanha,2010,1622100,8698824
Espanha,2011,1999970,11175636
Espanha,2012,2540209,11724946
Espanha,2013,2772104,13570874
Espanha,2014,2760797,12797753
Espanha,2015,3024533,11396855
Espanha,2016,3948614,12221512
Espanha,2017,7240535,19834451
Espanha,2018,5595268,19353631
Espanha,2019,5797980,17111436
Espanha,2020,7169384,19802061
Espanha,2021,8793911,23795616
Espanha,2022,6487047,17187749
Espanha,2023,6591628,20097228
Espanha,2024,6828739,18867752
Estados Unidos,1970,0,0
Estados Unidos,1971,915,190
Estados Unidos,1972,2156,1337
Estados Unidos,1973,0,0
Estados Unidos,1974,0,0
Estados Unidos,1975,965,3761
Estados Unidos,1976,1800,2575
Estados Unidos,1977,2250,3275
Estados Unidos,1978,58050,67752
Estados Unidos,1979,32400,36360
Estados Unidos,1980,32400,36720
Estados Unidos,1981,28350,33443
Estados Unidos,1982,40563,52983
Estados Unidos,1983,21654,24570
Estados Unidos,1984,0,0
Estados Unidos,1985,11025,15805
Estados Unidos,1986,5796,9218
Estados Unidos,1987,16517,17965
Estados Unidos,1988,6120,7880
Estados Unidos,1989,14400,53390
Estados Unidos,1990,27900,142509
Estados Unidos,1991,25655,62170
Estados Unidos,1992,16836,44552
Estados Unidos,1993,77914,177471
Estados Unidos,1994,93789,212884
Estados Unidos,1995,142331,313916
Estados Unidos,1996,275864,454266
Estados Unidos,1997,511333,1122364
Estados Unidos,1998,381199,885162
Estados Unidos,1999,674683,992353
Estados Unidos,2000,426442,899698
Estados Unidos,2001,374590,1036201
Estados Unidos,2002,139693,357913
Estados Unidos,2003,173327,448844
Estados Unidos,2004,79531,255328
Estados Unidos,2005,53043,245198
Estados Unidos,2006,61283,355478
Estados Unidos,2007,79376,334204
Estados Unidos,2008,65956,542331
Estados Unidos,2009,85393,702825
Estados Unidos,2010,194774,1344921
Estados Unidos,2011,369806,1756901
Estados Unidos,2012,379329,1995929
Estados Unidos,2013,518888,2817086
Estados Unidos,2014,788773,4171731
Estados Unidos,2015,775131,3848755
Estados Unidos,2016,725420,2924715
Estados Unidos,2017,1372347,4110641
Estados Unidos,2018,548655,2584781
Estados Unidos,2019,534870,2400830
Estados Unidos,2020,366584,2119234
Estados Unidos,2021,506405,2809649
Estados Unidos,2022,393211,3023220
Estados Unidos,2023,244276,1775713
Estados Unidos,2024,273198,1919231
França,1970,91544,78135
França,1971,88714,72978
França,1972,176688,173001
França,1973,259060,435641
França,1974,316584,465175
França,1975,191546,278746
França,1976,284613,423696
França,1977,322033,476983
França,1978,355292,633098
França,1979,458369,795004
França,1980,248038,508338
França,1981,303063,479427
França,1982,313977,424752
França,1983,267008,329128
França,1984,117087,138156
França,1985,540136,735516
França,1986,625421,980754
França,1987,340250,653846
França,1988,435573,724549
França,1989,701300,1422973
França,1990,479460,1807082
França,1991,503488,1870305
França,1992,356417,888246
França,1993,924323,2132215
França,1994,1821215,3935308
França,1995,2043172,5026251
França,1996,1917908,4370132
França,1997,3388528,8771794
França,1998,3853865,12027414
França,1999,3529422,10122865
França,2000,3431635,8467949
França,2001,3118460,7968430
França,2002,2355088,6060888
França,2003,1958362,6093629
França,2004,2092261,6201807
França,2005,1671209,5783702
França,2006,2561966,10507604
França,2007,2737947,14721769
França,2008,2466277,16275708
França,2009,2372448,16893114
França,2010,2799118,18778566
França,2011,3329437,22917012
França,2012,3181440,21636175
França,2013,3265362,23336291
França,2014,3592782,27480375
França,2015,3617130,19353291
França,2016,3831566,15940341
França,2017,5921728,25280255
França,2018,4653789,22688105
França,2019,5324383,24299524
França,2020,5658139,24894394
França,2021,6241310,31428188
França,2022,4911903,25955232
França,2023,4899631,30421272
França,2024,4700023,30175837
Geórgia,1970,0,0
Geórgia,1971,0,0
Geórgia,1972,0,0
Geórgia,1973,0,0
Geórgia,1974,0,0
Geórgia,1975,0,0
Geórgia,1976,0,0
Geórgia,1977,0,0
Geórgia,1978,0,0
Geórgia,1979,0,0
Geórgia,1980,0,0
Geórgia,1981,0,0
Geórgia,1982,0,0
Geórgia,1983,0,0
Geórgia,1984,0,0
Geórgia,1985,0,0
Geórgia,1986,0,0
Geórgia,1987,0,0
Geórgia,1988,0,0
Geórgia,1989,0,0
Geórgia,1990,0,0
Geórgia,1991,0,0
Geórgia,1992,0,0
Geórgia,1993,0,0
Geórgia,1994,0,0
Geórgia,1995,0,0
Geórgia,1996,0,0
Geórgia,1997,0,0
Geórgia,1998,0,0
Geórgia,1999,0,0
Geórgia,2000,0,0
Geórgia,2001,0,0
Geórgia,2002,0,0
Geórgia,2003,0,0
Geórgia,2004,0,0
Geórgia,2005,0,0
Geórgia,2006,0,0
Geórgia,2007,0,0
Geórgia,2008,0,0
Geórgia,2009,0,0
Geórgia,2010,0,0
Geórgia,2011,0,0
Geórgia,2012,0,0
Geórgia,2013,33750,134202
Geórgia,2014,0,0
Geórgia,2015,0,0
Geórgia,2016,0,0
Geórgia,2017,0,0
Geórgia,2018,8164,20416
Geórgia,2019,21748,41161
Geórgia,2020,20274,42948
Geórgia,2021,19188,32901
Geórgia,2022,12506,26983
Geórgia,2023,17173,29084
Geórgia,2024,9998,15541
"Geórgia do Sul e Sandwich do Sul, Ilhas",1970,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1971,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1972,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1973,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1974,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1975,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1976,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1977,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1978,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1979,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1980,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1981,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1982,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1983,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1984,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1985,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1986,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1987,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1988,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1989,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1990,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1991,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1992,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1993,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1994,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1995,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1996,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1997,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1998,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",1999,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2000,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2001,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2002,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2003,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2004,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2005,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2006,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2007,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2008,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2009,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2010,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2011,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2012,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2013,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2014,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2015,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2016,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2017,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2018,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2019,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2020,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2021,1838,2915
"Geórgia do Sul e Sandwich do Sul, Ilhas",2022,1788,2797
"Geórgia do Sul e Sandwich do Sul, Ilhas",2023,0,0
"Geórgia do Sul e Sandwich do Sul, Ilhas",2024,2937,4692
Grécia,1970,0,0
Grécia,1971,0,0
Grécia,1972,0,0
Grécia,1973,0,0
Grécia,1974,0,0
Grécia,1975,0,0
Grécia,1976,0,0
Grécia,1977,0,0
Grécia,1978,0,0
Grécia,1979,0,0
Grécia,1980,0,0
Grécia,1981,0,0
Grécia,1982,0,0
Grécia,1983,0,0
Grécia,1984,0,0
Grécia,1985,0,0
Grécia,1986,0,0
Grécia,1987,0,0
Grécia,1988,0,0
Grécia,1989,0,0
Grécia,1990,0,0
Grécia,1991,0,0
Grécia,1992,0,0
Grécia,1993,0,0
Grécia,1994,0,0
Grécia,1995,0,0
Grécia,1996,0,0
Grécia,1997,0,0
Grécia,1998,0,0
Grécia,1999,0,0
Grécia,2000,0,0
Grécia,2001,0,0
Grécia,2002,0,0
Grécia,2003,0,0
Grécia,2004,0,0
Grécia,2005,0,0
Grécia,2006,670,1450
Grécia,2007,18110,137867
Grécia,2008,11034,78819
Grécia,2009,52474,190076
Grécia,2010,42449,196361
Grécia,2011,82207,414329
Grécia,2012,68966,323206
Grécia,2013,13241,71175
Grécia,2014,24244,107195
Grécia,2015,55680,190185
Grécia,2016,6568,18637
Grécia,2017,40775,139486
Grécia,2018,41601,135185
Grécia,2019,21251,70881
Grécia,2020,61181,219292
Grécia,2021,13619,55228
Grécia,2022,45440,148515
Grécia,2023,45889,147724
Grécia,2024,41071,171795
Hong Kong,1970,0,0
Hong Kong,1971,0,0
Hong Kong,1972,0,0
Hong Kong,1973,0,0
Hong Kong,1974,0,0
Hong Kong,1975,0,0
Hong Kong,1976,0,0
Hong Kong,1977,0,0
Hong Kong,1978,0,0
Hong Kong,1979,0,0
Hong Kong,1980,0,0
Hong Kong,1981,0,0
Hong Kong,1982,0,0
Hong Kong,1983,0,0
Hong Kong,1984,0,0
Hong Kong,1985,0,0
Hong Kong,1986,0,0
Hong Kong,1987,0,0
Hong Kong,1988,0,0
Hong Kong,1989,0,0
Hong Kong,1990,0,0
Hong Kong,1991,0,0
Hong Kong,1992,0,0
Hong Kong,1993,0,0
Hong Kong,1994,0,0
Hong Kong,1995,0,0
Hong Kong,1996,0,0
Hong Kong,1997,0,0
Hong Kong,1998,0,0
Hong Kong,1999,0,0
Hong Kong,2000,0,0
Hong Kong,2001,0,0
Hong Kong,2002,0,0
Hong Kong,2003,0,0
Hong Kong,2004,0,0
Hong Kong,2005,0,0
Hong Kong,2006,0,0
Hong Kong,2007,0,0
Hong Kong,2008,0,0
Hong Kong,2009,0,0
Hong Kong,2010,0,0
Hong Kong,2011,0,0
Hong Kong,2012,0,0
Hong Kong,2013,0,0
Hong Kong,2014,0,0
Hong Kong,2015,0,0
Hong Kong,2016,0,0
Hong Kong,2017,0,0
Hong Kong,2018,0,0
Hong Kong,2019,0,0
Hong Kong,2020,311,2776
Hong Kong,2021,0,0
Hong Kong,2022,0,0
Hong Kong,2023,0,0
Hong Kong,2024,0,0
Hungria,1970,0,0
Hungria,1971,0,0
Hungria,1972,0,0
Hungria,1973,0,0
Hungria,1974,0,0
Hungria,1975,0,0
Hungria,1976,0,0
Hungria,1977,0,0
Hungria,1978,0,0
Hungria,1979,0,0
Hungria,1980,0,0
Hungria,1981,0,0
Hungria,1982,0,0
Hungria,1983,0,0
Hungria,1984,0,0
Hungria,1985,0,0
Hungria,1986,0,0
Hungria,1987,0,0
Hungria,1988,0,0
Hungria,1989,0,0
Hungria,1990,0,0
Hungria,1991,0,0
Hungria,1992,0,0
Hungria,1993,0,0
Hungria,1994,0,0
Hungria,1995,0,0
Hungria,1996,0,0
Hungria,1997,0,0
Hungria,1998,0,0
Hungria,1999,0,0
Hungria,2000,0,0
Hungria,2001,0,0
Hungria,2002,0,0
Hungria,2003,13391,39649
Hungria,2004,10967,26900
Hungria,2005,10858,53615
Hungria,2006,10530,54542
Hungria,2007,14600,82552
Hungria,2008,15981,90021
Hungria,2009,12632,87626
Hungria,2010,15193,160961
Hungria,2011,15073,256240
Hungria,2012,10404,168862
Hungria,2013,10911,140198
Hungria,2014,18733,114610
Hungria,2015,5117,74688
Hungria,2016,8315,58756
Hungria,2017,23813,168353
Hungria,2018,23742,113405
Hungria,2019,34591,146500
Hungria,2020,5254,25250
Hungria,2021,20174,160816
Hungria,2022,29260,160168
Hungria,2023,41905,316481
Hungria,2024,27820,238501
Indonésia,1970,0,0
Indonésia,1971,0,0
Indonésia,1972,0,0
Indonésia,1973,0,0
Indonésia,1974,0,0
Indonésia,1975,0,0
Indonésia,1976,0,0
Indonésia,1977,0,0
Indonésia,1978,0,0
Indonésia,1979,0,0
Indonésia,1980,0,0
Indonésia,1981,0,0
Indonésia,1982,0,0
Indonésia,1983,0,0
Indonésia,1984,0,0
Indonésia,1985,0,0
Indonésia,1986,0,0
Indonésia,1987,0,0
Indonésia,1988,0,0
Indonésia,1989,0,0
Indonésia,1990,0,0
Indonésia,1991,0,0
Indonésia,1992,0,0
Indonésia,1993,0,0
Indonésia,1994,0,0
Indonésia,1995,0,0
Indonésia,1996,0,0
Indonésia,1997,0,0
Indonésia,1998,0,0
Indonésia,1999,0,0
Indonésia,2000,0,0
Indonésia,2001,0,0
Indonésia,2002,0,0
Indonésia,2003,0,0
Indonésia,2004,0,0
Indonésia,2005,0,0
Indonésia,2006,0,0
Indonésia,2007,0,0
Indonésia,2008,0,0
Indonésia,2009,0,0
Indonésia,2010,0,0
Indonésia,2011,0,0
Indonésia,2012,0,0
Indonésia,2013,0,0
Indonésia,2014,0,0
Indonésia,2015,0,0
Indonésia,2016,0,43
Indonésia,2017,0,0
Indonésia,2018,36,210
Indonésia,2019,258,1464
Indonésia,2020,0,0
Indonésia,2021,0,0
Indonésia,2022,0,0
Indonésia,2023,0,0
Indonésia,2024,0,0
Irlanda,1970,0,0
Irlanda,1971,0,0
Irlanda,1972,0,0
Irlanda,1973,0,0
Irlanda,1974,0,0
Irlanda,1975,0,0
Irlanda,1976,0,0
Irlanda,1977,0,0
Irlanda,1978,0,0
Irlanda,1979,0,0
Irlanda,1980,0,0
Irlanda,1981,0,0
Irlanda,1982,0,0
Irlanda,1983,0,0
Irlanda,1984,0,0
Irlanda,1985,0,0
Irlanda,1986,0,0
Irlanda,1987,0,0
Irlanda,1988,0,0
Irlanda,1989,0,0
Irlanda,1990,0,0
Irlanda,1991,0,0
Irlanda,1992,0,0
Irlanda,1993,0,0
Irlanda,1994,0,0
Irlanda,1995,0,0
Irlanda,1996,0,0
Irlanda,1997,0,0
Irlanda,1998,0,0
Irlanda,1999,0,0
Irlanda,2000,0,0
Irlanda,2001,0,0
Irlanda,2002,0,0
Irlanda,2003,0,0
Irlanda,2004,0,0
Irlanda,2005,0,0
Irlanda,2006,0,0
Irlanda,2007,0,0
Irlanda,2008,0,0
Irlanda,2009,0,0
Irlanda,2010,0,0
Irlanda,2011,0,0
Irlanda,2012,0,0
Irlanda,2013,0,0
Irlanda,2014,0,0
Irlanda,2015,0,0
Irlanda,2016,0,43
Irlanda,2017,0,0
Irlanda,2018,107,954
Irlanda,2019,179,1705
Irlanda,2020,0,0
Irlanda,2021,0,0
Irlanda,2022,0,0
Irlanda,2023,0,0
Irlanda,2024,0,0
Israel,1970,0,0
Israel,1971,0,0
Israel,1972,0,0
Israel,1973,0,0
Israel,1974,0,0
Israel,1975,0,0
Israel,1976,0,0
Israel,1977,0,0
Israel,1978,0,0
Israel,1979,0,0
Israel,1980,0,0
Israel,1981,0,0
Israel,1982,0,0
Israel,1983,0,0
Israel,1984,0,0
Israel,1985,0,0
Israel,1986,0,0
Israel,1987,0,0
Israel,1988,0,0
Israel,1989,0,0
Israel,1990,0,0
Israel,1991,0,0
Israel,1992,0,0
Israel,1993,0,0
Israel,1994,0,0
Israel,1995,0,0
Israel,1996,0,0
Israel,1997,0,0
Israel,1998,0,0
Israel,1999,0,0
Israel,2000,0,0
Israel,2001,0,0
Israel,2002,0,0
Israel,2003,0,0
Israel,2004,0,0
Israel,2005,0,0
Israel,2006,0,0
Israel,2007,13250,27398
Israel,2008,8694,41161
Israel,2009,8924,36534
Israel,2010,15782,93252
Israel,2011,16382,68676
Israel,2012,8439,47579
Israel,2013,24622,97645
Israel,2014,7734,40372
Israel,2015,19028,55248
Israel,2016,12548,44277
Israel,2017,37302,120463
Israel,2018,40354,182017
Israel,2019,52237,182602
Israel,2020,38239,224349
Israel,2021,60281,298732
Israel,2022,19589,82489
Israel,2023,48772,259405
Israel,2024,37533,183392
Itália,1970,58802,32376
Itália,1971,108409,56377
Itália,1972,142196,96943
Itália,1973,258754,186334
Itália,1974,305763,278089
Itália,1975,250541,244731
Itália,1976,304377,276633
Itália,1977,348461,349392
Itália,1978,250535,268114
Itália,1979,407274,562726
Itália,1980,217226,283635
Itália,1981,178772,222760
Itália,1982,284440,322430
Itália,1983,266333,308260
Itália,1984,132321,141201
Itália,1985,327976,385365
Itália,1986,430029,601494
Itália,1987,306950,467597
Itália,1988,410419,703116
Itália,1989,750290,1341632
Itália,1990,497616,1284638
Itália,1991,566035,1331248
Itália,1992,540439,1307032
Itália,1993,1333424,2404136
Itália,1994,2745848,5058009
Itália,1995,3859353,7542440
Itália,1996,3771901,8178592
Itália,1997,5203832,11182645
Itália,1998,5481659,12837955
Itália,1999,6187860,14604418
Itália,2000,8261193,16364713
Itália,2001,8113437,15592191
Itália,2002,5878763,11408242
Itália,2003,5237027,10545425
Itália,2004,6190395,12223247
Itália,2005,6010760,11300501
Itália,2006,7983641,17018760
Itália,2007,9177932,22023175
Itália,2008,9723292,24378627
Itália,2009,8387908,23079424
Itália,2010,11911190,28683242
Itália,2011,12025827,35481781
Itália,2012,10506144,30750897
Itália,2013,8308831,30799292
Itália,2014,8566756,31697736
Itália,2015,8261383,25846195
Itália,2016,7936409,22216811
Itália,2017,11538990,33707111
Itália,2018,10154564,34857594
Itália,2019,10323254,33355982
Itália,2020,9659999,32477890
Itália,2021,11231625,39852162
Itália,2022,9622119,33330465
Itália,2023,8868133,34760596
Itália,2024,9861350,39485660
Iugoslávia,1970,702,326
Iugoslávia,1971,640,375
Iugoslávia,1972,1824,1137
Iugoslávia,1973,1251,813
Iugoslávia,1974,2520,1804
Iugoslávia,1975,7969,5128
Iugoslávia,1976,2100,1870
Iugoslávia,1977,1764,1570
Iugoslávia,1978,1764,1630
Iugoslávia,1979,2100,2050
Iugoslávia,1980,0,0
Iugoslávia,1981,0,0
Iugoslávia,1982,1350,1650
Iugoslávia,1983,0,0
Iugoslávia,1984,0,0
Iugoslávia,1985,14238,11619
Iugoslávia,1986,0,0
Iugoslávia,1987,17835,14390
Iugoslávia,1988,20160,17700
Iugoslávia,1989,17100,19150
Iugoslávia,1990,38640,44100
Iugoslávia,1991,25650,31825
Iugoslávia,1992,25596,31968
Iugoslávia,1993,8550,10500
Iugoslávia,1994,25920,36000
Iugoslávia,1995,51840,81408
Iugoslávia,1996,0,0
Iugoslávia,1997,0,0
Iugoslávia,1998,0,0
Iugoslávia,1999,0,0
Iugoslávia,2000,0,0
Iugoslávia,2001,0,0
Iugoslávia,2002,0,0
Iugoslávia,2003,0,0
Iugoslávia,2004,0,0
Iugoslávia,2005,0,0
Iugoslávia,2006,0,0
Iugoslávia,2007,0,0
Iugoslávia,2008,0,0
Iugoslávia,2009,0,0
Iugoslávia,2010,0,0
Iugoslávia,2011,0,0
